Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.2022	0	0	0	LastDelay	0.2022	202200	1	3
0.2022	0	0	0	FullDelay	0.2022	202200	1	3
1.08686	0	0	1	LastDelay	0.086856	86856	1	3
1.08686	0	0	1	FullDelay	0.086856	86856	1	3
2.58686	0	0	2	LastDelay	0.086856	86856	1	3
2.58686	0	0	2	FullDelay	0.086856	86856	1	3
4.08686	0	0	3	LastDelay	0.086856	86856	1	3
4.08686	0	0	3	FullDelay	0.086856	86856	1	3
5.58686	0	0	4	LastDelay	0.086856	86856	1	3
5.58686	0	0	4	FullDelay	0.086856	86856	1	3
7.08686	0	0	5	LastDelay	0.086856	86856	1	3
7.08686	0	0	5	FullDelay	0.086856	86856	1	3
8.58686	0	0	6	LastDelay	0.086856	86856	1	3
8.58686	0	0	6	FullDelay	0.086856	86856	1	3
10.0869	0	0	7	LastDelay	0.086856	86856	1	3
10.0869	0	0	7	FullDelay	0.086856	86856	1	3
11.5869	0	0	8	LastDelay	0.086856	86856	1	3
11.5869	0	0	8	FullDelay	0.086856	86856	1	3
13.0869	0	0	9	LastDelay	0.086856	86856	1	3
13.0869	0	0	9	FullDelay	0.086856	86856	1	3
14.5869	0	0	10	LastDelay	0.086856	86856	1	3
14.5869	0	0	10	FullDelay	0.086856	86856	1	3
16.0869	0	0	11	LastDelay	0.086856	86856	1	3
16.0869	0	0	11	FullDelay	0.086856	86856	1	3
17.5869	0	0	12	LastDelay	0.086856	86856	1	3
17.5869	0	0	12	FullDelay	0.086856	86856	1	3
19.0869	0	0	13	LastDelay	0.086856	86856	1	3
19.0869	0	0	13	FullDelay	0.086856	86856	1	3
